dataset,method,timeSlice,GT_predict,true
SuperBoring,nltk_0.80,26,32.3177366703%,16.6666666667%
SuperBoring,nltk_0.80,27,32.0043103448%,11.1111111111%
SuperBoring,nltk_0.80,28,31.2302839117%,21.7391304348%
SuperBoring,nltk_0.80,29,30.5154639175%,10.5263157895%
SuperBoring,nltk_0.80,30,30.3861788618%,28.5714285714%
SuperBoring,nltk_0.80,31,30.110775428%,22.2222222222%
SuperBoring,nltk_0.80,32,29.7216699801%,7.69230769231%
SuperBoring,nltk_0.80,33,29.3596059113%,11.1111111111%
SuperBoring,nltk_0.80,34,29.388942774%,31.25%
SuperBoring,nltk_0.80,35,29.4336118849%,43.4782608696%
SuperBoring,nltk_0.80,36,29.2321924144%,0.0%
SuperBoring,nltk_0.80,37,28.9256198347%,0.0%
SuperBoring,nltk_0.80,38,28.5714285714%,0.0%
SuperBoring,nltk_0.80,39,28.2628262826%,16.6666666667%
SuperBoring,nltk_0.80,40,27.8966131907%,9.09090909091%
SuperBoring,nltk_0.80,41,27.4320771253%,10.5263157895%
SuperBoring,nltk_0.80,42,27.2410791993%,25.0%
SuperBoring,nltk_0.80,43,27.1786022433%,30.0%
SuperBoring,nltk_0.80,44,27.0316509837%,10.0%
SuperBoring,nltk_0.80,45,26.8542199488%,0.0%
SuperBoring,word2vec_0.20,1,9.09090909091%,36.3636363636%
SuperBoring,word2vec_0.20,2,6.66666666667%,0.0%
SuperBoring,word2vec_0.20,3,9.09090909091%,14.2857142857%
SuperBoring,word2vec_0.20,4,8.57142857143%,15.3846153846%
SuperBoring,word2vec_0.20,5,3.66972477064%,6.75675675676%
SuperBoring,word2vec_0.20,6,3.52112676056%,3.0303030303%
SuperBoring,word2vec_0.20,7,3.31125827815%,0.0%
SuperBoring,word2vec_0.20,8,3.0487804878%,0.0%
SuperBoring,word2vec_0.20,9,2.80898876404%,0.0%
SuperBoring,word2vec_0.20,10,3.0303030303%,5.0%
SuperBoring,word2vec_0.20,11,1.61290322581%,0.892857142857%
SuperBoring,word2vec_0.20,12,1.71919770774%,5.12820512821%
SuperBoring,word2vec_0.20,13,1.6713091922%,0.0%
SuperBoring,word2vec_0.20,14,1.76991150442%,4.30107526882%
SuperBoring,word2vec_0.20,15,2.17821782178%,5.66037735849%
SuperBoring,word2vec_0.20,16,1.78837555887%,4.81927710843%
SuperBoring,word2vec_0.20,17,2.06489675516%,28.5714285714%
SuperBoring,word2vec_0.20,18,1.88679245283%,0.0%
SuperBoring,word2vec_0.20,19,1.85714285714%,0.0%
SuperBoring,word2vec_0.20,20,1.97183098592%,10.0%
SuperBoring,word2vec_0.20,21,1.88679245283%,1.17647058824%
SuperBoring,word2vec_0.20,22,1.85643564356%,0.0%
SuperBoring,word2vec_0.20,23,1.81598062954%,0.0%
SuperBoring,word2vec_0.20,24,1.67785234899%,0.0%
SuperBoring,word2vec_0.20,25,1.65380374862%,0.0%
SuperBoring,word2vec_0.20,26,1.63220892274%,0.0%
SuperBoring,word2vec_0.20,27,1.61637931034%,0.0%
SuperBoring,word2vec_0.20,28,1.78759200841%,8.69565217391%
SuperBoring,word2vec_0.20,29,1.9587628866%,10.5263157895%
SuperBoring,word2vec_0.20,30,1.93089430894%,0.0%
SuperBoring,word2vec_0.20,31,1.81268882175%,0.0%
SuperBoring,word2vec_0.20,32,1.78926441352%,0.0%
SuperBoring,word2vec_0.20,33,1.77339901478%,0.0%
SuperBoring,word2vec_0.20,34,1.84287099903%,6.25%
SuperBoring,word2vec_0.20,35,1.6713091922%,2.17391304348%
SuperBoring,word2vec_0.20,36,1.66512488437%,0.0%
SuperBoring,word2vec_0.20,37,1.65289256198%,0.0%
SuperBoring,word2vec_0.20,38,1.63785259327%,0.0%
SuperBoring,word2vec_0.20,39,1.6201620162%,0.0%
SuperBoring,word2vec_0.20,40,1.60427807487%,0.0%
SuperBoring,word2vec_0.20,41,1.48992112182%,0.0%
