dataset,method,timeSlice,GT_predict,TRUE
SuperBoring,word2vec_0.40,41,0.04,0.05
SuperBoring,word2vec_0.40,42,0.04,0.00
SuperBoring,word2vec_0.40,43,0.04,0.00
SuperBoring,word2vec_0.40,44,0.04,0.10
SuperBoring,word2vec_0.40,45,0.04,0.00
SuperBoring,word2vec_0.60,1,0.82,0.91
SuperBoring,word2vec_0.60,2,0.53,0.25
SuperBoring,word2vec_0.60,3,0.45,0.43
SuperBoring,word2vec_0.60,4,0.46,0.62
SuperBoring,word2vec_0.60,5,0.37,0.53
SuperBoring,word2vec_0.60,6,0.36,0.48
SuperBoring,word2vec_0.60,7,0.34,0.44
SuperBoring,word2vec_0.60,8,0.32,0.23
SuperBoring,word2vec_0.60,9,0.31,0.43
SuperBoring,word2vec_0.60,10,0.28,0.20
SuperBoring,word2vec_0.60,11,0.26,0.34
SuperBoring,word2vec_0.60,12,0.27,0.44
SuperBoring,word2vec_0.60,13,0.26,0.30
SuperBoring,word2vec_0.60,14,0.26,0.34
SuperBoring,word2vec_0.60,15,0.25,0.32
SuperBoring,word2vec_0.60,16,0.22,0.28
SuperBoring,word2vec_0.60,17,0.22,0.29
SuperBoring,word2vec_0.60,18,0.21,0.09
SuperBoring,word2vec_0.60,19,0.21,0.27
SuperBoring,word2vec_0.60,20,0.21,0.10
SuperBoring,word2vec_0.60,21,0.19,0.20
SuperBoring,word2vec_0.60,22,0.19,0.08
SuperBoring,word2vec_0.60,23,0.19,0.11
SuperBoring,word2vec_0.60,24,0.17,0.16
SuperBoring,word2vec_0.60,25,0.17,0.08
SuperBoring,word2vec_0.60,26,0.17,0.00
SuperBoring,word2vec_0.60,27,0.16,0.00
SuperBoring,word2vec_0.60,28,0.16,0.22
SuperBoring,word2vec_0.60,29,0.16,0.11
SuperBoring,word2vec_0.60,30,0.16,0.29
SuperBoring,word2vec_0.60,31,0.16,0.11
SuperBoring,word2vec_0.60,32,0.16,0.08
SuperBoring,word2vec_0.60,33,0.15,0.11
SuperBoring,word2vec_0.60,34,0.16,0.25
SuperBoring,word2vec_0.60,35,0.16,0.26
SuperBoring,word2vec_0.60,36,0.16,0.00
SuperBoring,word2vec_0.60,37,0.16,0.00
SuperBoring,word2vec_0.60,38,0.15,0.00
SuperBoring,word2vec_0.60,39,0.15,0.17
SuperBoring,word2vec_0.60,40,0.15,0.09
SuperBoring,word2vec_0.60,41,0.15,0.11
SuperBoring,word2vec_0.60,42,0.15,0.00
SuperBoring,word2vec_0.60,43,0.15,0.10
SuperBoring,word2vec_0.60,44,0.15,0.10
SuperBoring,word2vec_0.60,45,0.15,0.00
SuperBoring,word2vec_0.80,1,1.00,1.00
SuperBoring,word2vec_0.80,2,0.87,0.75
SuperBoring,word2vec_0.80,3,0.73,0.71
SuperBoring,word2vec_0.80,4,0.71,0.85
SuperBoring,word2vec_0.80,5,0.62,0.77
SuperBoring,word2vec_0.80,6,0.58,0.64
SuperBoring,word2vec_0.80,7,0.56,0.56
SuperBoring,word2vec_0.80,8,0.54,0.62
SuperBoring,word2vec_0.80,9,0.55,0.71
SuperBoring,word2vec_0.80,10,0.51,0.40
SuperBoring,word2vec_0.80,11,0.45,0.54
SuperBoring,word2vec_0.80,12,0.44,0.51
SuperBoring,word2vec_0.80,13,0.44,0.50
SuperBoring,word2vec_0.80,14,0.42,0.51
SuperBoring,word2vec_0.80,15,0.41,0.51
SuperBoring,word2vec_0.80,16,0.38,0.45
SuperBoring,word2vec_0.80,17,0.38,0.29
SuperBoring,word2vec_0.80,18,0.37,0.27
SuperBoring,word2vec_0.80,19,0.37,0.45
SuperBoring,word2vec_0.80,20,0.37,0.20
SuperBoring,word2vec_0.80,21,0.35,0.40
SuperBoring,word2vec_0.80,22,0.35,0.38
SuperBoring,word2vec_0.80,23,0.35,0.28
SuperBoring,word2vec_0.80,24,0.33,0.32
SuperBoring,word2vec_0.80,25,0.33,0.23
SuperBoring,word2vec_0.80,26,0.32,0.17
SuperBoring,word2vec_0.80,27,0.32,0.11
SuperBoring,word2vec_0.80,28,0.31,0.26
SuperBoring,word2vec_0.80,29,0.31,0.11
SuperBoring,word2vec_0.80,30,0.31,0.36
SuperBoring,word2vec_0.80,31,0.30,0.22
SuperBoring,word2vec_0.80,32,0.30,0.15
SuperBoring,word2vec_0.80,33,0.30,0.11
SuperBoring,word2vec_0.80,34,0.30,0.31
SuperBoring,word2vec_0.80,35,0.30,0.46
SuperBoring,word2vec_0.80,36,0.30,0.00
SuperBoring,word2vec_0.80,37,0.30,0.00
SuperBoring,word2vec_0.80,38,0.29,0.00
SuperBoring,word2vec_0.80,39,0.29,0.17
SuperBoring,word2vec_0.80,40,0.29,0.09
SuperBoring,word2vec_0.80,41,0.28,0.11
SuperBoring,word2vec_0.80,42,0.28,0.25
SuperBoring,word2vec_0.80,43,0.28,0.20
SuperBoring,word2vec_0.80,44,0.28,0.10
SuperBoring,word2vec_0.80,45,0.27,0.00
Boring,nltk_0.20,1,0.78,0.86
Boring,nltk_0.20,2,0.80,0.92
Boring,nltk_0.20,3,0.83,1.00
Boring,nltk_0.20,4,0.81,0.82
Boring,nltk_0.20,5,0.73,0.57
Boring,nltk_0.20,6,0.75,1.00
Boring,nltk_0.20,7,0.52,0.60
Boring,nltk_0.20,8,0.43,0.44
Boring,nltk_0.20,9,0.35,0.34
Boring,nltk_0.20,10,0.29,0.27
Boring,nltk_0.20,11,0.28,0.07
Boring,nltk_0.20,12,0.30,0.66
Boring,nltk_0.20,13,0.30,0.42
Boring,nltk_0.20,14,0.29,0.36
Boring,nltk_0.20,15,0.29,0.25
Boring,nltk_0.20,16,0.29,0.27
Boring,nltk_0.20,17,0.28,0.27
Boring,nltk_0.20,18,0.28,0.33
Boring,nltk_0.20,19,0.28,0.27
Boring,nltk_0.20,20,0.27,0.18
Boring,nltk_0.20,21,0.26,0.23
Boring,nltk_0.20,22,0.26,0.24
Boring,nltk_0.20,23,0.26,0.45
Boring,nltk_0.20,24,0.26,0.33
Boring,nltk_0.20,25,0.26,0.47
Boring,nltk_0.20,26,0.26,0.06
Boring,nltk_0.20,27,0.25,0.00
Boring,nltk_0.20,28,0.23,0.24
Boring,nltk_0.20,29,0.23,0.00
Boring,nltk_0.20,30,0.22,0.18
Boring,nltk_0.20,31,0.21,0.05
Boring,nltk_0.20,32,0.21,0.00
Boring,nltk_0.20,33,0.21,0.08
Boring,nltk_0.20,34,0.21,0.24
Boring,nltk_0.20,35,0.21,0.33
Boring,nltk_0.20,36,0.21,0.19
Boring,nltk_0.20,37,0.21,0.24
Boring,nltk_0.20,38,0.20,0.00
Boring,nltk_0.20,39,0.20,0.08
Boring,nltk_0.20,40,0.20,0.00
Boring,nltk_0.20,41,0.20,0.24
Boring,nltk_0.20,42,0.20,0.11
Boring,nltk_0.20,43,0.20,0.10
Boring,nltk_0.20,44,0.20,0.34
Boring,nltk_0.20,45,0.20,1.00
Boring,nltk_0.40,1,0.81,0.89
Boring,nltk_0.40,2,0.82,0.92
Boring,nltk_0.40,3,0.85,1.00
Boring,nltk_0.40,4,0.81,0.82
Boring,nltk_0.40,5,0.74,0.64
Boring,nltk_0.40,6,0.76,1.00
Boring,nltk_0.40,7,0.58,0.69
Boring,nltk_0.40,8,0.50,0.51
Boring,nltk_0.40,9,0.44,0.50
Boring,nltk_0.40,10,0.38,0.37
Boring,nltk_0.40,11,0.37,0.36
Boring,nltk_0.40,12,0.39,0.83
Boring,nltk_0.40,13,0.38,0.42
Boring,nltk_0.40,14,0.38,0.45
Boring,nltk_0.40,15,0.38,0.50
Boring,nltk_0.40,16,0.38,0.53
Boring,nltk_0.40,17,0.37,0.35
Boring,nltk_0.40,18,0.36,0.33
Boring,nltk_0.40,19,0.36,0.45
Boring,nltk_0.40,20,0.36,0.36
Boring,nltk_0.40,21,0.35,0.34
Boring,nltk_0.40,22,0.35,0.35
Boring,nltk_0.40,23,0.35,0.45
Boring,nltk_0.40,24,0.35,0.52
Boring,nltk_0.40,25,0.35,0.47
Boring,nltk_0.40,26,0.34,0.13
Boring,nltk_0.40,27,0.34,0.00
Boring,nltk_0.40,28,0.31,0.35
Boring,nltk_0.40,29,0.31,0.20
Boring,nltk_0.40,30,0.30,0.21
Boring,nltk_0.40,31,0.30,0.05
Boring,nltk_0.40,32,0.29,0.00
Boring,nltk_0.40,33,0.29,0.08
Boring,nltk_0.40,34,0.29,0.24
Boring,nltk_0.40,35,0.29,0.50
Boring,nltk_0.40,36,0.28,0.26
