dataset,method,timeSlice,GT_predict,TRUE
SuperBoring,word2vec_0.70,17,0.311,0.286
SuperBoring,word2vec_0.70,18,0.306,0.273
SuperBoring,word2vec_0.70,19,0.307,0.455
SuperBoring,word2vec_0.70,20,0.306,0.200
SuperBoring,word2vec_0.70,21,0.294,0.365
SuperBoring,word2vec_0.70,22,0.293,0.231
SuperBoring,word2vec_0.70,23,0.289,0.167
SuperBoring,word2vec_0.70,24,0.274,0.235
SuperBoring,word2vec_0.70,25,0.271,0.231
SuperBoring,word2vec_0.70,26,0.268,0.167
SuperBoring,word2vec_0.70,27,0.265,0.111
SuperBoring,word2vec_0.70,28,0.262,0.174
SuperBoring,word2vec_0.70,29,0.256,0.105
SuperBoring,word2vec_0.70,30,0.253,0.214
SuperBoring,word2vec_0.70,31,0.250,0.111
SuperBoring,word2vec_0.70,32,0.246,0.000
SuperBoring,word2vec_0.70,33,0.242,0.111
SuperBoring,word2vec_0.70,34,0.242,0.250
SuperBoring,word2vec_0.70,35,0.240,0.326
SuperBoring,word2vec_0.70,36,0.239,0.000
SuperBoring,word2vec_0.70,37,0.236,0.000
SuperBoring,word2vec_0.70,38,0.234,0.000
SuperBoring,word2vec_0.70,39,0.231,0.167
SuperBoring,word2vec_0.70,40,0.229,0.091
SuperBoring,word2vec_0.70,41,0.225,0.053
SuperBoring,word2vec_0.70,42,0.224,0.250
SuperBoring,word2vec_0.70,43,0.222,0.100
SuperBoring,word2vec_0.70,44,0.221,0.100
SuperBoring,word2vec_0.70,45,0.220,0.000
SuperBoring,word2vec_0.80,1,1.000,1.000
SuperBoring,word2vec_0.80,2,0.867,0.750
SuperBoring,word2vec_0.80,3,0.727,0.714
SuperBoring,word2vec_0.80,4,0.714,0.846
SuperBoring,word2vec_0.80,5,0.569,0.730
SuperBoring,word2vec_0.80,6,0.549,0.667
SuperBoring,word2vec_0.80,7,0.530,0.556
SuperBoring,word2vec_0.80,8,0.518,0.615
SuperBoring,word2vec_0.80,9,0.517,0.643
SuperBoring,word2vec_0.80,10,0.490,0.400
SuperBoring,word2vec_0.80,11,0.442,0.527
SuperBoring,word2vec_0.80,12,0.430,0.487
SuperBoring,word2vec_0.80,13,0.423,0.500
SuperBoring,word2vec_0.80,14,0.407,0.495
SuperBoring,word2vec_0.80,15,0.396,0.472
SuperBoring,word2vec_0.80,16,0.365,0.434
SuperBoring,word2vec_0.80,17,0.363,0.286
SuperBoring,word2vec_0.80,18,0.357,0.273
SuperBoring,word2vec_0.80,19,0.359,0.545
SuperBoring,word2vec_0.80,20,0.356,0.200
SuperBoring,word2vec_0.80,21,0.342,0.388
SuperBoring,word2vec_0.80,22,0.340,0.231
SuperBoring,word2vec_0.80,23,0.335,0.278
SuperBoring,word2vec_0.80,24,0.320,0.294
SuperBoring,word2vec_0.80,25,0.316,0.231
SuperBoring,word2vec_0.80,26,0.312,0.167
SuperBoring,word2vec_0.80,27,0.309,0.111
SuperBoring,word2vec_0.80,28,0.303,0.217
SuperBoring,word2vec_0.80,29,0.296,0.105
SuperBoring,word2vec_0.80,30,0.295,0.286
SuperBoring,word2vec_0.80,31,0.291,0.111
SuperBoring,word2vec_0.80,32,0.287,0.077
SuperBoring,word2vec_0.80,33,0.284,0.111
SuperBoring,word2vec_0.80,34,0.284,0.313
SuperBoring,word2vec_0.80,35,0.286,0.435
SuperBoring,word2vec_0.80,36,0.284,0.000
SuperBoring,word2vec_0.80,37,0.281,0.000
SuperBoring,word2vec_0.80,38,0.278,0.000
SuperBoring,word2vec_0.80,39,0.275,0.167
SuperBoring,word2vec_0.80,40,0.271,0.091
SuperBoring,word2vec_0.80,41,0.266,0.053
SuperBoring,word2vec_0.80,42,0.265,0.250
SuperBoring,word2vec_0.80,43,0.264,0.300
SuperBoring,word2vec_0.80,44,0.263,0.100
SuperBoring,word2vec_0.80,45,0.261,0.000
SuperBoring,word2vec_0.90,1,1.000,1.000
SuperBoring,word2vec_0.90,2,0.867,0.750
SuperBoring,word2vec_0.90,3,0.727,0.714
SuperBoring,word2vec_0.90,4,0.771,0.923
SuperBoring,word2vec_0.90,5,0.596,0.743
SuperBoring,word2vec_0.90,6,0.570,0.667
SuperBoring,word2vec_0.90,7,0.550,0.556
SuperBoring,word2vec_0.90,8,0.537,0.615
SuperBoring,word2vec_0.90,9,0.534,0.643
SuperBoring,word2vec_0.90,10,0.505,0.400
SuperBoring,word2vec_0.90,11,0.468,0.554
SuperBoring,word2vec_0.90,12,0.447,0.487
SuperBoring,word2vec_0.90,13,0.440,0.500
SuperBoring,word2vec_0.90,14,0.423,0.516
SuperBoring,word2vec_0.90,15,0.408,0.472
SuperBoring,word2vec_0.90,16,0.380,0.458
SuperBoring,word2vec_0.90,17,0.376,0.429
SuperBoring,word2vec_0.90,18,0.370,0.273
SuperBoring,word2vec_0.90,19,0.371,0.545
SuperBoring,word2vec_0.90,20,0.368,0.200
SuperBoring,word2vec_0.90,21,0.353,0.400
SuperBoring,word2vec_0.90,22,0.351,0.231
SuperBoring,word2vec_0.90,23,0.346,0.278
SuperBoring,word2vec_0.90,24,0.331,0.309
SuperBoring,word2vec_0.90,25,0.327,0.231
SuperBoring,word2vec_0.90,26,0.323,0.167
SuperBoring,word2vec_0.90,27,0.320,0.111
SuperBoring,word2vec_0.90,28,0.312,0.217
SuperBoring,word2vec_0.90,29,0.305,0.105
SuperBoring,word2vec_0.90,30,0.304,0.286
SuperBoring,word2vec_0.90,31,0.301,0.222
SuperBoring,word2vec_0.90,32,0.297,0.077
SuperBoring,word2vec_0.90,33,0.294,0.111
SuperBoring,word2vec_0.90,34,0.294,0.313
SuperBoring,word2vec_0.90,35,0.294,0.435
SuperBoring,word2vec_0.90,36,0.292,0.000
SuperBoring,word2vec_0.90,37,0.289,0.000
SuperBoring,word2vec_0.90,38,0.286,0.000
SuperBoring,word2vec_0.90,39,0.283,0.167
SuperBoring,word2vec_0.90,40,0.279,0.091
SuperBoring,word2vec_0.90,41,0.274,0.105
SuperBoring,word2vec_0.90,42,0.272,0.250
SuperBoring,word2vec_0.90,43,0.272,0.300
SuperBoring,word2vec_0.90,44,0.270,0.100
SuperBoring,word2vec_0.90,45,0.269,0.000
Boring,word2vec_0.20,1,0.300,0.400
Boring,word2vec_0.20,2,0.000,0.111
Boring,word2vec_0.20,3,0.000,0.125
Boring,word2vec_0.20,4,0.029,0.143
Boring,word2vec_0.20,5,0.035,0.058
Boring,word2vec_0.20,6,0.031,0.000
Boring,word2vec_0.20,7,0.027,0.000
Boring,word2vec_0.20,8,0.032,0.063
Boring,word2vec_0.20,9,0.040,0.087
Boring,word2vec_0.20,10,0.031,0.000
Boring,word2vec_0.20,11,0.048,0.500
Boring,word2vec_0.20,12,0.057,0.200
Boring,word2vec_0.20,13,0.055,0.000
Boring,word2vec_0.20,14,0.042,0.000
Boring,word2vec_0.20,15,0.040,0.000
Boring,word2vec_0.20,16,0.038,0.077
Boring,word2vec_0.20,17,0.034,0.035
Boring,word2vec_0.20,18,0.033,0.000
Boring,word2vec_0.20,19,0.033,0.000
Boring,word2vec_0.20,20,0.029,0.000
Boring,word2vec_0.20,21,0.026,0.025
Boring,word2vec_0.20,22,0.025,0.018
Boring,word2vec_0.20,23,0.026,0.031
Boring,word2vec_0.20,24,0.026,0.071
Boring,word2vec_0.20,25,0.025,0.000
Boring,word2vec_0.20,26,0.024,0.000
Boring,word2vec_0.20,27,0.021,0.010
