dataset,method,timeSlice,GT_predict,true
Normal,word2vec_0.50,1,76.9230769231%,84.6153846154%
Normal,word2vec_0.50,2,47.619047619%,37.5%
Normal,word2vec_0.50,3,29.0909090909%,38.2352941176%
Normal,word2vec_0.50,4,32.9113924051%,54.1666666667%
Normal,word2vec_0.50,5,29.1262135922%,33.3333333333%
Normal,word2vec_0.50,6,25.6637168142%,0.0%
Normal,word2vec_0.50,7,24.1935483871%,18.1818181818%
Normal,word2vec_0.50,8,20.7142857143%,6.25%
Normal,word2vec_0.50,9,20.253164557%,27.7777777778%
Normal,word2vec_0.50,10,20.7100591716%,27.2727272727%
Normal,word2vec_0.50,11,19.6629213483%,0.0%
Normal,word2vec_0.50,12,18.1818181818%,22.2222222222%
Normal,word2vec_0.50,13,17.1296296296%,24.1379310345%
Normal,word2vec_0.50,14,16.2995594714%,0.0%
Normal,word2vec_0.50,15,15.2542372881%,0.0%
Normal,word2vec_0.50,16,14.1129032258%,8.33333333333%
Normal,word2vec_0.50,17,14.6153846154%,33.3333333333%
Normal,word2vec_0.60,1,84.6153846154%,92.3076923077%
Normal,word2vec_0.60,2,66.6666666667%,62.5%
Normal,word2vec_0.60,3,52.7272727273%,61.7647058824%
Normal,word2vec_0.60,4,48.1012658228%,62.5%
Normal,word2vec_0.60,5,38.8349514563%,37.5%
Normal,word2vec_0.60,6,33.6283185841%,20.0%
Normal,word2vec_0.60,7,34.6774193548%,45.4545454545%
Normal,word2vec_0.60,8,32.1428571429%,37.5%
Normal,word2vec_0.60,9,31.0126582278%,33.3333333333%
Normal,word2vec_0.60,10,31.3609467456%,45.4545454545%
Normal,word2vec_0.60,11,31.4606741573%,33.3333333333%
Normal,word2vec_0.60,12,29.4117647059%,33.3333333333%
Normal,word2vec_0.60,13,27.3148148148%,37.9310344828%
Normal,word2vec_0.60,14,25.9911894273%,0.0%
Normal,word2vec_0.60,15,24.5762711864%,0.0%
Normal,word2vec_0.60,16,23.7903225806%,25.0%
Normal,word2vec_0.60,17,23.8461538462%,33.3333333333%
Normal,word2vec_0.70,1,100.0%,100.0%
Normal,word2vec_0.70,2,85.7142857143%,75.0%
Normal,word2vec_0.70,3,65.4545454545%,73.5294117647%
Normal,word2vec_0.70,4,64.5569620253%,79.1666666667%
Normal,word2vec_0.70,5,60.1941747573%,66.6666666667%
Normal,word2vec_0.70,6,54.8672566372%,50.0%
Normal,word2vec_0.70,7,53.2258064516%,45.4545454545%
Normal,word2vec_0.70,8,48.5714285714%,43.75%
Normal,word2vec_0.70,9,45.5696202532%,44.4444444444%
Normal,word2vec_0.70,10,44.9704142012%,45.4545454545%
Normal,word2vec_0.70,11,42.6966292135%,22.2222222222%
Normal,word2vec_0.70,12,42.7807486631%,55.5555555556%
Normal,word2vec_0.70,13,39.3518518519%,44.8275862069%
Normal,word2vec_0.70,14,37.4449339207%,0.0%
Normal,word2vec_0.70,15,35.593220339%,11.1111111111%
Normal,word2vec_0.70,16,33.8709677419%,25.0%
Normal,word2vec_0.70,17,35.0%,75.0%
Normal,word2vec_0.80,1,100.0%,100.0%
Normal,word2vec_0.80,2,90.4761904762%,87.5%
Normal,word2vec_0.80,3,69.0909090909%,76.4705882353%
Normal,word2vec_0.80,4,69.6202531646%,83.3333333333%
Normal,word2vec_0.80,5,64.0776699029%,66.6666666667%
Normal,word2vec_0.80,6,58.407079646%,50.0%
Normal,word2vec_0.80,7,56.4516129032%,45.4545454545%
Normal,word2vec_0.80,8,51.4285714286%,43.75%
Normal,word2vec_0.80,9,49.3670886076%,50.0%
Normal,word2vec_0.80,10,48.5207100592%,45.4545454545%
Normal,word2vec_0.80,11,47.191011236%,33.3333333333%
Normal,word2vec_0.80,12,46.5240641711%,55.5555555556%
Normal,word2vec_0.80,13,43.5185185185%,48.275862069%
Normal,word2vec_0.80,14,41.40969163%,0.0%
Normal,word2vec_0.80,15,39.406779661%,11.1111111111%
Normal,word2vec_0.80,16,38.3064516129%,33.3333333333%
Normal,word2vec_0.80,17,40.0%,83.3333333333%
Normal,word2vec_0.90,1,100.0%,100.0%
Normal,word2vec_0.90,2,90.4761904762%,87.5%
Normal,word2vec_0.90,3,69.0909090909%,76.4705882353%
Normal,word2vec_0.90,4,69.6202531646%,83.3333333333%
Normal,word2vec_0.90,5,64.0776699029%,66.6666666667%
Normal,word2vec_0.90,6,58.407079646%,50.0%
Normal,word2vec_0.90,7,56.4516129032%,45.4545454545%
Normal,word2vec_0.90,8,51.4285714286%,43.75%
Normal,word2vec_0.90,9,50.6329113924%,55.5555555556%
Normal,word2vec_0.90,10,49.7041420118%,45.4545454545%
Normal,word2vec_0.90,11,48.3146067416%,33.3333333333%
Normal,word2vec_0.90,12,47.5935828877%,55.5555555556%
