Super_Word,Value
introvert,set(['introvert'])
hear,set(['hear'])
tvs,set(['tvs'])
with,set(['with'])
eat,set(['eat'])
info,set(['info'])
made,set(['made'])
temp,set(['temp'])
characteristic,set(['characteristic'])
mat,set(['mat'])
appliance,set(['appliance'])
flip,set(['flip'])
us,set([u'us'])
record,set(['record'])
carriage,set(['carriage'])
books,set(['books'])
complaint,set(['complaint'])
decorate,set(['decorate'])
highlight,set(['highlight'])
informational,set(['informational'])
called,set(['called'])
ordered,set(['ordered'])
ad,set(['ad'])
up,set(['up'])
toss,set(['toss'])
describe,set(['describe'])
ins,set(['ins'])
alarm,set(['alarm'])
file,set(['file'])
home,set(['home'])
advertise,set(['advertise'])
again,set(['again'])
tip,set(['tip'])
mroe,set(['mroe'])
book,set(['book'])
you,set(['you'])
really,set(['really'])
poor,set(['poor'])
picture,set(['picture'])
draw,set(['draw'])
repeat,set(['repeat'])
football,set(['football'])
problems,set(['problems'])
prepared,set(['prepared'])
included,set(['included'])
faster,set(['faster'])
outing,set([u'outing'])
entertainment,set(['entertainment'])
youtube,set(['youtube'])
flag,set(['flag'])
depth,set(['depth'])
beverage,set([u'beverage'])
time,set(['time'])
familypatrons,set(['familypatrons'])
