dataset,method,timeSlice,GT_predict,new_TRUE
0WBTH5BSPO,word2vec_0.70,12,61.72839506,100
0WBTH5BSPO,word2vec_0.70,13,59.57446809,69.23076923
0WBTH5BSPO,word2vec_0.70,14,60.82474227,100
0WBTH5BSPO,word2vec_0.70,15,60.78431373,80
0WBTH5BSPO,word2vec_0.80,1,78.94736842,89.47368421
0WBTH5BSPO,word2vec_0.80,2,74.19354839,83.33333333
0WBTH5BSPO,word2vec_0.80,3,78.94736842,100
0WBTH5BSPO,word2vec_0.80,4,80.95238095,100
0WBTH5BSPO,word2vec_0.80,5,82.9787234,100
0WBTH5BSPO,word2vec_0.80,6,76.47058824,50
0WBTH5BSPO,word2vec_0.80,7,72.88135593,62.5
0WBTH5BSPO,word2vec_0.80,8,71.42857143,50
0WBTH5BSPO,word2vec_0.80,9,71.01449275,83.33333333
0WBTH5BSPO,word2vec_0.80,10,72.22222222,100
0WBTH5BSPO,word2vec_0.80,11,68.42105263,50
0WBTH5BSPO,word2vec_0.80,12,70.37037037,100
0WBTH5BSPO,word2vec_0.80,13,69.14893617,76.92307692
0WBTH5BSPO,word2vec_0.80,14,70.10309278,100
0WBTH5BSPO,word2vec_0.80,15,69.60784314,80
0WBTH5BSPO,word2vec_0.90,1,78.94736842,89.47368421
0WBTH5BSPO,word2vec_0.90,2,74.19354839,83.33333333
0WBTH5BSPO,word2vec_0.90,3,78.94736842,100
0WBTH5BSPO,word2vec_0.90,4,80.95238095,100
0WBTH5BSPO,word2vec_0.90,5,82.9787234,100
0WBTH5BSPO,word2vec_0.90,6,76.47058824,50
0WBTH5BSPO,word2vec_0.90,7,74.57627119,75
0WBTH5BSPO,word2vec_0.90,8,73.01587302,50
0WBTH5BSPO,word2vec_0.90,9,72.46376812,83.33333333
0WBTH5BSPO,word2vec_0.90,10,73.61111111,100
0WBTH5BSPO,word2vec_0.90,11,69.73684211,50
0WBTH5BSPO,word2vec_0.90,12,71.60493827,100
0WBTH5BSPO,word2vec_0.90,13,72.34042553,84.61538462
0WBTH5BSPO,word2vec_0.90,14,73.19587629,100
0WBTH5BSPO,word2vec_0.90,15,72.54901961,80
1RAHK5RD6A,word2vec_0.20,1,23.07692308,53.84615385
1RAHK5RD6A,word2vec_0.20,2,9.090909091,0
1RAHK5RD6A,word2vec_0.20,3,2.941176471,0
1RAHK5RD6A,word2vec_0.20,4,0,0
1RAHK5RD6A,word2vec_0.20,5,0,0
1RAHK5RD6A,word2vec_0.20,6,0,0
1RAHK5RD6A,word2vec_0.30,1,46.15384615,69.23076923
1RAHK5RD6A,word2vec_0.30,2,22.72727273,0
1RAHK5RD6A,word2vec_0.30,3,8.823529412,8.333333333
1RAHK5RD6A,word2vec_0.30,4,7.5,16.66666667
1RAHK5RD6A,word2vec_0.30,5,6.976744186,0
1RAHK5RD6A,word2vec_0.30,6,4.255319149,0
1RAHK5RD6A,word2vec_0.40,1,84.61538462,92.30769231
1RAHK5RD6A,word2vec_0.40,2,50,33.33333333
1RAHK5RD6A,word2vec_0.40,3,32.35294118,33.33333333
1RAHK5RD6A,word2vec_0.40,4,30,33.33333333
1RAHK5RD6A,word2vec_0.40,5,23.25581395,0
1RAHK5RD6A,word2vec_0.40,6,17.0212766,0
1RAHK5RD6A,word2vec_0.50,1,84.61538462,92.30769231
1RAHK5RD6A,word2vec_0.50,2,72.72727273,66.66666667
1RAHK5RD6A,word2vec_0.50,3,41.17647059,33.33333333
1RAHK5RD6A,word2vec_0.50,4,42.5,66.66666667
1RAHK5RD6A,word2vec_0.50,5,37.20930233,0
1RAHK5RD6A,word2vec_0.50,6,36.17021277,50
1RAHK5RD6A,word2vec_0.60,1,100,100
1RAHK5RD6A,word2vec_0.60,2,90.90909091,88.88888889
1RAHK5RD6A,word2vec_0.60,3,88.23529412,91.66666667
1RAHK5RD6A,word2vec_0.60,4,85,83.33333333
1RAHK5RD6A,word2vec_0.60,5,83.72093023,66.66666667
1RAHK5RD6A,word2vec_0.60,6,80.85106383,75
1RAHK5RD6A,word2vec_0.70,1,100,100
1RAHK5RD6A,word2vec_0.70,2,100,100
1RAHK5RD6A,word2vec_0.70,3,94.11764706,91.66666667
1RAHK5RD6A,word2vec_0.70,4,90,83.33333333
